"product_id","product_name","price_id","nickname","amount","currency","interval","interval_count","active","lookup_key"
"prod_THWFBch6uakOc9","RinaWarp Terminal Pro — Lifetime","price_1SKxH8GZrRdZy3W9vwBlJjoK","Lifetime 99","99900","usd","","","true",""
"prod_THWFBch6uakOc9","RinaWarp Terminal Pro — Lifetime","price_1SKxFWGZrRdZy3W9S31RPBeK","Lifetime 99","79900","usd","","","true",""
"prod_THWFnGrpWrIqJe","RinaWarp Terminal Pro — Team Seat Addon","price_1SKxFPGZrRdZy3W9fSMIXrIx","Team Seat Addon","1500","usd","month",1,"true",""
"prod_THWFL0V3aPGFk5","RinaWarp Terminal Pro — Team","price_1SKxFDGZrRdZy3W9eqTQCKXd","Team Yearly","79900","usd","year",1,"true",""
"prod_THWFL0V3aPGFk5","RinaWarp Terminal Pro — Team","price_1SKxF5GZrRdZy3W9Ck4Z8AJ2","Team Monthly","9900","usd","month",1,"true",""
"prod_THWFDToaXXMI6E","RinaWarp Terminal Pro — Pro","price_1SKxElGZrRdZy3W9INymT4g8","Pro Yearly","31900","usd","year",1,"true",""
"prod_THWFDToaXXMI6E","RinaWarp Terminal Pro — Pro","price_1SKxEQGZrRdZy3W9j0HEkQgn","Pro Monthly","3900","usd","month",1,"true",""
"prod_THWFJyrSQTHtgQ","RinaWarp Terminal Pro — Standard","price_1SKxDWGZrRdZy3W9jU6O0uUk","Standard Yearly","15900","usd","year",1,"true",""
"prod_THWFJyrSQTHtgQ","RinaWarp Terminal Pro — Standard","price_1SKxDPGZrRdZy3W9ORznzocH","Standard Monthly","1900","usd","month",1,"true",""
"prod_THRwzzP35msqDL","RinaWarp Studio Bundle","price_1SKt33GZrRdZy3W9YPqJvdga","Studio Bundle Yearly","224900","usd","year",1,"true",""
"prod_THRwzzP35msqDL","RinaWarp Studio Bundle","price_1SKt33GZrRdZy3W9QqShpZQb","Studio Bundle Monthly","24900","usd","month",1,"true",""
"prod_THRwTDloMdSey4","RinaWarp Pro Bundle","price_1SKt33GZrRdZy3W9rTRRtKyw","Pro Bundle Yearly","89900","usd","year",1,"true",""
"prod_THRwTDloMdSey4","RinaWarp Pro Bundle","price_1SKt32GZrRdZy3W9oc2fusT5","Pro Bundle Monthly","9900","usd","month",1,"true",""
"prod_THRw2SwhhY3y0w","RinaWarp Creator Bundle","price_1SKt32GZrRdZy3W9Yf1NDT65","Creator Bundle Yearly","43900","usd","year",1,"true",""
"prod_THRw2SwhhY3y0w","RinaWarp Creator Bundle","price_1SKt32GZrRdZy3W9MHLpKTGW","Creator Bundle Monthly","4900","usd","month",1,"true",""
"prod_THRwtrkTbJ9wSS","AMVC Credits — Large (280 min 720p-eq)","price_1SKt31GZrRdZy3W9HPQ1wjma","Credits $199","19900","usd","","","true",""
"prod_THRwRMyOrZ8YEf","AMVC Credits — Medium (120 min 720p-eq)","price_1SKt30GZrRdZy3W9pOqIW7Sp","Credits $99","9900","usd","","","true",""
"prod_THRwONXOxqNifG","AMVC Credits — Small (50 min 720p-eq)","price_1SKt30GZrRdZy3W9Crf3K4Gn","Credits $49","4900","usd","","","true",""
"prod_THRwCmZDsFqLkZ","AI Music Video Creator — Studio","price_1SKt2zGZrRdZy3W9UChx81KF","Studio Yearly","179900","usd","year",1,"true",""
"prod_THRwCmZDsFqLkZ","AI Music Video Creator — Studio","price_1SKt2yGZrRdZy3W9fy52HWsn","Studio Monthly","19900","usd","month",1,"true",""
"prod_THRwoXsW23OjLE","AI Music Video Creator — Pro","price_1SKt2yGZrRdZy3W9gRC6lkZY","Pro Yearly","69900","usd","year",1,"true",""
"prod_THRwoXsW23OjLE","AI Music Video Creator — Pro","price_1SKt2yGZrRdZy3W9uMctUOxI","Pro Monthly","7900","usd","month",1,"true",""
"prod_THRwoKszDISkhO","AI Music Video Creator — Creator","price_1SKt2xGZrRdZy3W9yTYFclAH","Creator Yearly","25900","usd","year",1,"true",""
"prod_THRwoKszDISkhO","AI Music Video Creator — Creator","price_1SKt2xGZrRdZy3W9krFbsGCS","Creator Monthly","2900","usd","month",1,"true",""
